Community Area,Poverty_Rate,Est_Monthly_Income,Total Population
ALBANY PARK,0.1189204385718302,7982.694530347047,47830
ARCHER HEIGHTS,0.07559322033898305,7552.966101694915,13875
ARMOUR SQUARE,0.22591040928134065,6176.482436351917,13149
ASHBURN,0.08065168994130743,8135.266983741483,42842
AUBURN GRESHAM,0.23890560361037985,6010.444089256613,46483
AUSTIN,0.2507057645023222,5847.410679051695,100278
AVALON PARK,0.1740571902196436,7179.427407100428,9492
AVONDALE,0.08866297773774288,8904.098571612405,36350
BELMONT CRAGIN,0.09696561849993883,7083.728435091154,73988
BEVERLY,0.031140521603736863,11551.795445698715,19811
BRIDGEPORT,0.14356941958578368,7959.388050796898,33012
BRIGHTON PARK,0.17181604976037523,6092.586927704701,42360
BURNSIDE,0.07045454545454545,8001.89393939394,2229
CALUMET HEIGHTS,0.12168217855911755,8374.267493967598,12078
CHATHAM,0.23380195599022005,6338.981000407498,31440
CHICAGO LAWN,0.19465184927938878,5656.725704694102,52245
CLEARING,0.06035642232683255,8503.908876933423,24710
DOUGLAS,0.23324306025727826,6628.723764387271,18629
DUNNING,0.06868231046931408,9210.194795427196,42548
EAST GARFIELD PARK,0.33754469606674614,4794.398092967819,19855
EAST SIDE,0.12687099073414113,6674.313970064148,23629
EDGEWATER,0.08697707397778302,9467.940006302686,47484
EDISON PARK,0.04186521443158611,11514.706716587249,11398
ENGLEWOOD,0.33025302530253026,4399.752475247525,21337
FOREST GLEN,0.030880670987418986,11654.514550768841,19763
FULLER PARK,0.4325581395348837,4043.1201550387595,2186
GAGE PARK,0.13451776649746192,6309.416466292635,34650
GARFIELD RIDGE,0.04726088908845981,9287.882614878012,36265
GRAND BOULEVARD,0.17537456780637725,7270.457164809835,24808
GREATER GRAND CROSSING,0.27835361273847076,5098.643032396975,29052
HEGEWISCH,0.0997191011235955,7909.058988764045,8895
HERMOSA,0.10529344073647871,7086.290116353408,23200
HUMBOLDT PARK,0.1755603880896621,5998.121584699454,55015
HYDE PARK,0.0819270549809472,10646.604518236256,24092
IRVING PARK,0.08149674964325353,9139.64642460758,53535
JEFFERSON PARK,0.07667402501839587,9551.447142506744,26991
KENWOOD,0.19610570236439498,8966.44645340751,14368
LAKE VIEW,0.04220516962843296,12130.901094956023,90652
LINCOLN PARK,0.027708034433285508,12846.350430416069,62067
LINCOLN SQUARE,0.061650433479610404,9871.806878590032,42180
LOGAN SQUARE,0.09106690777576854,9964.059674502712,71354
LOOP,0.02005231037489102,11978.25850043592,38284
LOWER WEST SIDE,0.12474012474012475,7394.317394317394,34177
MCKINLEY PARK,0.08844665561083472,7755.20545421043,15400
MONTCLARE,0.09743910056214866,8495.992088278159,13755
MORGAN PARK,0.15065502183406113,8285.984848484848,21288
MOUNT GREENWOOD,0.03575469563249604,11480.019989439541,19107
NEAR NORTH SIDE,0.0529143499718873,12288.373836446553,91635
NEAR SOUTH SIDE,0.07821522309711286,12339.238845144357,26307
NEAR WEST SIDE,0.12822229661868095,9958.082245285124,65370
NEW CITY,0.2545495394293417,5732.326069048154,40843
NORTH CENTER,0.041288671784135846,12510.176785298907,35782
NORTH LAWNDALE,0.2706169822846671,5162.995062105478,30355
NORTH PARK,0.09084572490706319,8255.643974597273,19259
NORWOOD PARK,0.0727015558698727,10091.643092880717,40074
OAKLAND,0.3471153846153846,5321.514423076923,4373
OHARE,0.0753344285379019,7912.119611984667,16281
PORTAGE PARK,0.059357450698707064,9035.849549431892,64201
PULLMAN,0.17446808510638298,6287.3606889564335,6851
RIVERDALE,0.517426273458445,3011.6175156389636,7740
ROGERS PARK,0.10631977875652976,7819.5952405339885,53169
ROSELAND,0.1805032925682032,6024.125901536532,37660
SOUTH CHICAGO,0.23647262975232686,5921.511016458958,29072
SOUTH DEERING,0.27305389221556886,5656.811377245508,15100
SOUTH LAWNDALE,0.19302790318999333,5385.889275405226,69554
SOUTH SHORE,0.24397750185715802,5882.769111040362,46276
UPTOWN,0.15057872898012667,9038.88676566936,52674
WASHINGTON HEIGHTS,0.1431021044427124,7548.389191997921,26310
WASHINGTON PARK,0.42031652557968346,4193.120476015213,12362
WEST ELSDON,0.06700125470514429,7638.540359682142,18201
WEST ENGLEWOOD,0.2743880808797446,4862.835520870285,25971
WEST GARFIELD PARK,0.30324074074074076,4686.294367283951,16345
WEST LAWN,0.10986804360298336,7629.924459743736,32451
WEST PULLMAN,0.2356155028171419,6333.945136873258,25159
WEST RIDGE,0.11581983581096073,7776.791657421789,79220
WEST TOWN,0.06357752102111185,11323.926763857802,86453
WOODLAWN,0.22547743055555555,5979.636863425926,24437
